n_faults,slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
4,3.0,adaptive,1,69858,17.23614740371704,140951,0.01916046933859382,0.0184635760943479,0.031438628408892555,0.03795546757950419,0.05495393844678719,0.12875883794824805,2.055694269926571,2562.7454545454543,2559.8,0.001149335584706742,0,0.001326702187284943
4,3.0,adaptive,9,9966,16.714026927947998,140821,0.01911321083959238,0.018469145296272416,0.030991756657947178,0.03776478433473897,0.07178241686563587,0.14798520434981466,2.044749972396446,2560.3818181818183,2556.5636363636363,0.0014912548554547973,0,0.001604874273013258
4,3.0,adaptive,8,6332,16.928086042404175,141145,0.01931088549787902,0.01858834269144438,0.03182606994366494,0.03831881545972862,0.05521405926192606,0.11935297410021661,2.061443351663919,2566.2727272727275,2563.2363636363634,0.0011831804173013567,0,0.0011973502426582592
4,3.0,adaptive,2,26508,17.270322561264038,140975,0.01919597406137175,0.01853005382885442,0.03126941977756199,0.03795254025638585,0.07355910324981754,0.14522511879500133,2.0481613602917514,2563.181818181818,2559.181818181818,0.0015605603830466394,0,0.0016953360524915766
4,5.0,no_mitigation,0,92032,16.845234632492065,140331,0.02316977275890031,0.018107457744868327,0.03566119226364606,0.18485407335211468,0.23330762186687787,0.28684651962799634,10.20872592700113,2551.4727272727273,2471.4,0.031382944609530325,0,0.031333062544982936
4,3.0,adaptive,6,4273,17.314436674118042,140952,0.01905140934196185,0.018444778143267726,0.030616016717575807,0.037551950465658436,0.05499172901649177,0.13691696959171828,2.035912287693455,2562.7636363636366,2559.9454545454546,0.0010996651342300924,5,0.0013125035473068845
4,5.0,no_mitigation,5,26447,16.822892904281616,140331,0.023044388648295024,0.018052379446398703,0.03515262534070018,0.18436511247586837,0.23135186447369302,0.29664890642568764,10.212787351566979,2551.4727272727273,2471.5454545454545,0.03132593653576188,0,0.031340188554203986
4,5.0,no_mitigation,3,92516,16.953710317611694,140391,0.02315462045551488,0.01808974742635172,0.0356201222979422,0.18555035018050112,0.23478828961271336,0.30040411998115957,10.257210662333845,2552.5636363636363,2472.581818181818,0.031333917416358596,0,0.031333917416358596
4,3.0,adaptive,5,5848,17.560492038726807,141181,0.019221512524975348,0.018525821061771808,0.0314022460687049,0.03813036745345501,0.05714233102306025,0.11265444239949929,2.0582282062594977,2566.927272727273,2563.8727272727274,0.001189961822058209,13,0.0013174577315644457
4,5.0,no_mitigation,4,71978,17.047889471054077,140024,0.023190694517876066,0.01812454031524169,0.035672608138548875,0.18557487545276524,0.23533820510394293,0.29399407029912794,10.238873495550534,2545.890909090909,2465.8545454545456,0.03143746786265212,0,0.03140890133120037
