n_faults,slowdown,baseline,metric,mean,ci_95,min,max,n
4,3.0,fixed_isolation,tail_ratio,2.1740859466220317,0.23429973279302393,2.043659508940193,3.10443889913912,10
4,3.0,fixed_isolation,throughput,2559.6909090909094,4.017697753385572,2549.7454545454543,2571.327272727273,10
4,3.0,fixed_isolation,goodput,2553.3963636363637,6.938996322361485,2532.327272727273,2568.5454545454545,10
4,3.0,fixed_isolation,slo_violation_rate,0.0024587800878144135,0.0022917938394743766,0.0010818608005769925,0.0114976791721671,10
4,3.0,fixed_isolation,affected_ratio,0.0037671067087896087,0.003948347010477616,0.0012218338874207938,0.01894987863560874,10
4,3.0,fixed_shedding,p99_latency,0.07077628996512972,0.0009672303333891359,0.06926159970257055,0.07355949847186637,10
4,3.0,fixed_shedding,p999_latency,0.10497284333478477,0.0012528773983295609,0.10223737571795612,0.10832156056605113,10
4,3.0,fixed_shedding,p95_latency,0.03058539523375327,0.00028128707095812503,0.030071892080411923,0.031406903394556096,10
4,3.0,fixed_shedding,p50_latency,0.017296233419868124,5.868219772428185e-05,0.017142310660130278,0.01743634471018929,10
4,3.0,fixed_shedding,avg_latency,0.018781326994120093,7.297343287640414e-05,0.01864273804229545,0.019011500811418287,10
4,3.0,fixed_shedding,max_latency,0.14383611483217357,0.0035667662192246405,0.13588087742602184,0.15348101107904188,10
4,3.0,fixed_shedding,tail_ratio,4.0919564926547505,0.05188240192245649,4.0174043107210275,4.2187453674783315,10
4,3.0,fixed_shedding,throughput,2559.514545454546,4.077801376692604,2551.0,2566.7454545454543,10
4,3.0,fixed_shedding,goodput,2507.018181818182,3.9270552093460274,2498.5636363636363,2512.7636363636366,10
4,3.0,fixed_shedding,slo_violation_rate,0.02051010527194478,0.00033965863272447867,0.019837020120710074,0.021498749743219216,10
4,3.0,fixed_shedding,affected_ratio,0.03699420295321819,0.0003650105807579705,0.0360569933120093,0.03795450015660146,10
4,3.0,fixed_speculation,p99_latency,0.06317745264816231,0.014905535796745088,0.037135003775714104,0.08803360330127129,10
4,3.0,fixed_speculation,p999_latency,0.09705588469661122,0.014032252753715783,0.06814387680646926,0.11707093092656123,10
4,3.0,fixed_speculation,p95_latency,0.031157030668763953,0.0009633284970902612,0.02999999999999936,0.03417687005066794,10
4,3.0,fixed_speculation,p50_latency,0.017796190457804784,0.00022728150030591982,0.017334016645488504,0.01826621726457134,10
4,3.0,fixed_speculation,avg_latency,0.01909831381409342,0.0003450186034747373,0.018587619305967057,0.019968386936000424,10
4,3.0,fixed_speculation,max_latency,0.13808415089038856,0.009210812440946304,0.11575041616124437,0.14925853962564162,10
4,3.0,fixed_speculation,tail_ratio,3.5617714639619096,0.8584863288166322,2.0644439661906127,4.971956559212283,10
4,3.0,fixed_speculation,throughput,2559.3199999999997,5.86865834897113,2545.0545454545454,2570.3636363636365,10
4,3.0,fixed_speculation,goodput,2521.2,17.52228616774334,2486.672727272727,2562.4727272727273,10
4,3.0,fixed_speculation,slo_violation_rate,0.014883222511353638,0.007377619893618283,0.0019860263755733043,0.03109325852248576,10
4,3.0,fixed_speculation,affected_ratio,0.022115549523174766,0.008764281042101503,0.005357984826186973,0.036158576326900733,10
4,3.0,no_mitigation,p99_latency,0.09570553503789707,0.0007809658870616811,0.09406521598197037,0.09740059108237391,10
4,3.0,no_mitigation,p999_latency,0.11859212754764228,0.0003701572737212154,0.11755092564560429,0.11938157016975805,10
4,3.0,no_mitigation,p95_latency,0.044999893877988126,0.00033401695883596253,0.04403219879556619,0.04575111214581895,10
4,3.0,no_mitigation,p50_latency,0.017360953635329236,5.321986499586906e-05,0.01718184066730899,0.017459277959575026,10
4,3.0,no_mitigation,avg_latency,0.02058896737307694,5.945460772392975e-05,0.02042555467325013,0.02071230347268596,10
4,3.0,no_mitigation,max_latency,0.15734746411504902,0.007487785021561087,0.1464102876777531,0.17939980252311472,10
4,3.0,no_mitigation,tail_ratio,5.512666190713848,0.03987081849348462,5.424120350406055,5.593552781061792,10
4,3.0,no_mitigation,throughput,2558.1272727272726,2.4854535333924175,2550.3818181818183,2562.690909090909,10
4,3.0,no_mitigation,goodput,2434.3963636363637,2.519746346593191,2426.5272727272727,2439.3818181818183,10
4,3.0,no_mitigation,slo_violation_rate,0.0483678598532961,0.00013117492157340972,0.04811448050564591,0.04861554618867175,10
4,3.0,no_mitigation,affected_ratio,0.05201398591504512,5.1132826003951406e-05,0.0519198569685274,0.05217757055984487,10
