load_factor,n_faults,fault_fraction,baseline,metric,mean,ci_95,min,max,n
0.85,4,0.125,adaptive,tail_ratio,9.38157960649015,0.05480855507435783,9.254431711335814,9.529908674050823,10
0.85,4,0.125,adaptive,throughput,2719.4854545454546,4.232657229745966,2707.0363636363636,2725.7090909090907,10
0.85,4,0.125,adaptive,goodput,2629.6800000000003,5.759426548197348,2615.8545454545456,2638.163636363636,10
0.85,4,0.125,adaptive,slo_violation_rate,0.03302148155094331,0.0019577313907134203,0.030708888041070127,0.04030310711474579,10
0.85,4,0.125,adaptive,affected_ratio,0.029399394684455505,4.277936476321733e-05,0.029330149285590405,0.029525747714709814,10
0.85,4,0.125,no_mitigation,p99_latency,0.2170352627985613,0.002107711182120835,0.21295362107250737,0.2213623123244911,10
0.85,4,0.125,no_mitigation,p999_latency,0.2771204207090893,0.003928044138757373,0.27174198575120445,0.2883551390276328,10
0.85,4,0.125,no_mitigation,p95_latency,0.043258253541296234,0.000748581635367266,0.042241689547027755,0.04559652740134679,10
0.85,4,0.125,no_mitigation,p50_latency,0.023103277348596008,0.0002746116009593614,0.0226115132818272,0.023641714937902236,10
0.85,4,0.125,no_mitigation,avg_latency,0.028515170468005734,0.0002786198152458059,0.028045613585233078,0.02915100183516737,10
0.85,4,0.125,no_mitigation,max_latency,0.352666939411783,0.013496318688229435,0.3243751502399874,0.383013119768858,10
0.85,4,0.125,no_mitigation,tail_ratio,9.39467174092066,0.040321864668837346,9.268360426078063,9.46300738772917,10
0.85,4,0.125,no_mitigation,throughput,2718.663636363636,4.755421988803513,2709.5636363636363,2730.2727272727275,10
0.85,4,0.125,no_mitigation,goodput,2631.101818181818,4.331871276358521,2624.2727272727275,2640.090909090909,10
0.85,4,0.125,no_mitigation,slo_violation_rate,0.032206309156981104,0.0010802647291065226,0.031189266083843693,0.0361480354473628,10
0.85,4,0.125,no_mitigation,affected_ratio,0.02940699116289528,5.355659621574262e-05,0.029281124096826823,0.029504918604807216,10
0.85,6,0.1875,adaptive,p99_latency,0.8176911224448865,0.09585849585240427,0.649777956819124,1.0270180453503894,10
0.85,6,0.1875,adaptive,p999_latency,1.0555694875409023,0.12867193747258923,0.8137308458723255,1.4469502882080703,10
0.85,6,0.1875,adaptive,p95_latency,0.20353730922147456,0.028680635411937327,0.1514568041658304,0.2967235243885914,10
0.85,6,0.1875,adaptive,p50_latency,0.10388414189670687,0.0161711841615088,0.0773850453015612,0.14262842447270785,10
0.85,6,0.1875,adaptive,avg_latency,0.12679527941208452,0.01726659055918717,0.0956444800915649,0.17379140618552488,10
0.85,6,0.1875,adaptive,max_latency,1.1676879962166224,0.13577312411776307,0.9022547767960845,1.5781494550850113,10
0.85,6,0.1875,adaptive,tail_ratio,7.964670836499666,0.5001970321893681,6.852983421878939,8.972683720332903,10
0.85,6,0.1875,adaptive,throughput,2713.4690909090905,2.603109446565122,2708.0,2717.4545454545455,10
