balancer,fault,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
p2c,S6_cascade,adaptive,1,43,17.299272537231445,127915,0.016644622045204772,0.01617929656588224,0.027968139051107944,0.033002163081701646,0.03972305771899674,0.15684855496168737,2.039777375197775,2558.3,2557.18,0.0004377907204002658,0,0.02327326740413556
p2c,S6_cascade,adaptive,0,42,17.38595724105835,128934,0.016790925660427992,0.016339204559395526,0.028117465844465696,0.03346155916561248,0.039618704523296584,0.16346914972554316,2.047930732733932,2578.68,2577.58,0.00042657483673817613,0,0.02316689158794422
p2c,S6_cascade,adaptive,4,46,17.379257440567017,127923,0.016647529632630918,0.01615356255129541,0.027998942584609308,0.033302808490567055,0.039703309199878224,0.18464877564318982,2.0616386252143735,2558.46,2557.36,0.00042994613947452764,0,0.023092016291050083
p2c,S6_cascade,adaptive,5,47,17.351165294647217,128123,0.01669431254161434,0.016230154429266008,0.02804772032765612,0.03292726447595512,0.03932736778026675,0.18096897148709346,2.028770867181713,2562.46,2561.42,0.0004058599939121001,0,0.02323548465146773
p2c,S6_cascade,fixed_isolation,9,51,17.885042190551758,127369,0.0164734065025601,0.01604092359759335,0.02765071098001925,0.031516204008012166,0.038536543617959954,0.17223422712673297,1.9647374925930452,2547.38,2546.44,0.000369006587160141,0,0.023153200543303314
p2c,S6_cascade,adaptive,6,48,17.356990098953247,127374,0.016482247101770372,0.016014601963423303,0.027732147542932847,0.03238185451889264,0.03901634937658067,0.16386926721364148,2.022020565534596,2547.48,2546.4,0.0004239483725093033,0,0.023183695259629124
p2c,S6_cascade,adaptive,8,50,17.264731884002686,128426,0.01688171573473786,0.016427879299676817,0.02830918012064121,0.03379313602629708,0.039491712368361256,0.1472527271010513,2.0570601603435135,2568.52,2567.44,0.00042047560462834627,0,0.023149518010371732
p2c,S6_cascade,adaptive,7,49,17.426076650619507,128046,0.01663176350348569,0.01613829693062918,0.02795484721680097,0.0328316583689402,0.039511255850623844,0.1779372021663086,2.0343942430894533,2560.92,2559.82,0.0004295331365290599,0,0.023249457226309295
p2c,S6_cascade,adaptive,9,51,17.490673303604126,127369,0.0164734065025601,0.01604092359759335,0.02765071098001925,0.031516204008012166,0.038536543617959954,0.17223422712673297,1.9647374925930452,2547.38,2546.44,0.000369006587160141,0,0.023153200543303314
lor,S2_progressive,fixed_isolation,0,42,6.147375106811523,127637,0.011146842526696416,0.009999999999999787,0.01908274755640065,0.0198993953265348,0.019995383224417938,0.029953399521534863,1.9899395326535223,2552.74,2552.74,0.0,0,0.0
lor,S2_progressive,fixed_isolation,3,45,6.06952691078186,127609,0.011144864968809193,0.009999999999999787,0.019078395544845243,0.019893207405995667,0.019996735858657105,0.029994052786392444,1.9893207405996092,2552.18,2552.18,0.0,0,0.0
lor,S2_progressive,fixed_isolation,2,44,6.114674091339111,128247,0.011217395843483469,0.009999999999999787,0.019140351427766687,0.01989796975701459,0.01999110035586655,0.02986886382743137,1.9897969757015015,2564.94,2564.94,0.0,0,0.0
lor,S2_progressive,fixed_isolation,1,43,6.383902072906494,128297,0.011009465317041271,0.009999999999999787,0.018803377911587305,0.019882900395025303,0.019998128076509206,0.029964295129097707,1.9882900395025727,2565.94,2565.94,0.0,0,0.0
lor,S2_progressive,fixed_isolation,4,46,6.2594451904296875,127929,0.011147813314455472,0.009999999999999787,0.01906388233281362,0.01988825882717265,0.019990054701871204,0.027769031823851265,1.9888258827173073,2558.58,2558.58,0.0,0,0.0
lor,S2_progressive,fixed_isolation,5,47,6.120618581771851,128488,0.012436000689920314,0.009999999999999787,0.019848950257732412,0.027624706492842644,0.029920947783737887,0.03976588208193732,2.762470649284323,2569.76,2569.76,0.0,0,0.0
lor,S2_progressive,fixed_isolation,6,48,6.565189838409424,127905,0.011183318981354795,0.009999999999999787,0.019117038037077802,0.019890030125554146,0.01998982167992651,0.026746143569251757,1.989003012555457,2558.1,2558.1,0.0,0,0.0
lor,S2_progressive,fixed_isolation,8,50,6.286955118179321,127362,0.011101873288760836,0.009999999999999787,0.018973290705864086,0.019888353347138475,0.01999041207306255,0.026518007883048256,1.9888353347138898,2547.24,2547.24,0.0,0,0.0
lor,S2_progressive,fixed_isolation,7,49,6.375509977340698,128486,0.011025034270078227,0.009999999999999787,0.018814257145228996,0.019864835037360605,0.01998705366317429,0.01999987513433865,1.9864835037361028,2569.72,2569.72,0.0,0,0.0
lor,S2_progressive,fixed_isolation,9,51,6.396294832229614,127964,0.011181989073644797,0.009999999999999787,0.019106460239153477,0.01989817897227361,0.01999305464648543,0.029851013400172377,1.9898178972274037,2559.28,2559.28,0.0,0,0.0
lor,S2_progressive,adaptive,1,43,6.440505743026733,128297,0.011091123310326434,0.009999999999999787,0.01896841138634073,0.019892589787347675,0.019998284047681582,0.029964295129097707,1.9892589787348098,2565.94,2565.94,0.0,1992,0.0
lor,S2_progressive,adaptive,0,42,6.71463680267334,127637,0.011038584514078555,0.009999999999999787,0.018870252027403465,0.019875160944311288,0.019987712214522134,0.029415320270320677,1.9875160944311712,2552.74,2552.74,0.0,1736,0.0
lor,S2_progressive,adaptive,2,44,6.611565589904785,128246,0.01141466193970517,0.009999999999999787,0.01937386367257865,0.019918011613825472,0.019993553639705085,0.029170335846281148,1.9918011613825897,2564.92,2564.92,0.0,1570,0.0
lor,S2_progressive,adaptive,5,47,6.425352096557617,128488,0.011100595935506106,0.009999999999999787,0.01904349400002179,0.019887706317741324,0.01998998430620349,0.021980196300930288,1.988770631774175,2569.76,2569.76,0.0,2236,0.0
lor,S2_progressive,adaptive,4,46,6.637526035308838,127929,0.011112035272080887,0.009999999999999787,0.018999618130416705,0.01988287875383662,0.019989566890523412,0.01999985207196886,1.9882878753837046,2558.58,2558.58,0.0,2945,0.0
