slowdown,baseline,run_id,seed,elapsed_sec,total,avg_latency,p50_latency,p95_latency,p99_latency,p999_latency,max_latency,tail_ratio,throughput,goodput,slo_violation_rate,hedge_count,affected_ratio
1.0,fixed_shedding,7,78538,24.85079598426819,127836,0.014729208296551461,0.013705667535132804,0.024809781387236107,0.028669156977816086,0.03373636724730287,0.039955241709076716,2.091773852264124,2556.72,2556.72,0.0,0,0.0
1.0,fixed_shedding,5,12469,26.388867616653442,127932,0.014755976560340476,0.013757185610922207,0.024873950120874965,0.02880391169116969,0.033862470870881685,0.04181099775405528,2.093735776037031,2558.64,2558.64,0.0,0,0.0
1.0,fixed_shedding,8,76712,22.985149383544922,128245,0.014812615902445187,0.013849677125087112,0.024997184854062476,0.028857432476191033,0.03414823919581304,0.03987321677985989,2.083617705709477,2564.9,2564.9,0.0,0,0.0
1.0,fixed_isolation,7,18241,16.47181248664856,127427,0.014683450135220153,0.013624561799638002,0.024736929860440782,0.028720172649039886,0.03375141093053401,0.041759915730924746,2.107970375223588,2548.54,2548.54,0.0,0,0.0
1.0,fixed_isolation,9,16182,16.312138557434082,128093,0.014808206743080591,0.013823089790122367,0.025019370783646622,0.02884386178118092,0.03448640807936288,0.040264350813925986,2.0866435955434524,2561.86,2561.86,0.0,0,0.0
1.0,fixed_isolation,0,65029,25.436317682266235,127698,0.014699837619397424,0.013674557077585803,0.02476993399670561,0.0287487645697049,0.03392636956555386,0.04242085721891442,2.102354350974006,2553.96,2553.96,0.0,0,0.0
1.0,fixed_shedding,9,76479,26.17902445793152,128458,0.014812074930993742,0.013855777250427082,0.025002910751016565,0.028834392700205626,0.03422350019048583,0.04297230314415401,2.0810375469421505,2569.16,2569.16,0.0,0,0.0
1.0,adaptive,0,9785,16.766770124435425,128217,0.014842650634137661,0.013888835815279776,0.025096270189972358,0.028862177426766347,0.034504786312034005,0.04664215206292255,2.078084715712002,2564.34,2564.34,0.0,0,0.0
1.0,fixed_isolation,4,44194,22.379417419433594,128351,0.01481255582054347,0.01383608040100981,0.024985186185025654,0.02884120039754734,0.03407094022315008,0.045690970124379504,2.0844921077101,2567.02,2567.02,0.0,0,0.0
1.0,fixed_isolation,3,54231,23.721930742263794,127908,0.014782085290460602,0.013766931207657152,0.0249782319747803,0.028848725073784436,0.034327555396844546,0.039576249781980266,2.0955087694299515,2558.16,2558.16,0.0,0,0.0
1.0,fixed_isolation,5,52172,22.390466690063477,128165,0.014794800048900412,0.013788454576022957,0.024932105126769234,0.02888521993718925,0.034613548318863235,0.03966746264247334,2.09488451210612,2563.3,2563.3,0.0,0,0.0
1.0,fixed_isolation,2,98960,25.04467272758484,128007,0.014762171812449775,0.013762566896069472,0.02491386200618102,0.02878682436121911,0.0341964220014695,0.04002083889830743,2.091675526710101,2560.14,2560.14,0.0,0,0.0
1.0,fixed_isolation,6,21875,23.019312143325806,127909,0.014808465177815474,0.013770346715411108,0.025120269235785742,0.02897415799227602,0.03477158822857126,0.04459172229095998,2.1040979280390624,2558.18,2558.18,0.0,0,0.0
1.0,adaptive,1,77337,18.195298671722412,128185,0.014844705299987273,0.01389535662913488,0.02506580174402586,0.028915962990969893,0.0343401676431411,0.04264210219114517,2.0809802700810702,2563.7,2563.7,0.0,0,0.0
1.0,adaptive,2,75854,18.253926038742065,127946,0.014709915518708138,0.013716990517512073,0.024670038769851743,0.028665785406741768,0.03412835176289055,0.039913342801163765,2.0898013576771826,2558.92,2558.92,0.0,0,0.0
1.0,fixed_isolation,8,19816,22.83403754234314,127951,0.01479354662992818,0.013809701757466541,0.025014803908138816,0.028804882977837565,0.034428027226135666,0.044516433084943685,2.085843958379733,2559.02,2559.02,0.0,0,0.0
1.0,adaptive,3,77429,19.013216733932495,128125,0.014799621304365478,0.013821178107409793,0.024999101533698814,0.02891404273512407,0.03451434753982266,0.04433371032909861,2.0920099944029165,2562.5,2562.5,0.0,0,0.0
1.0,adaptive,5,75370,16.510324478149414,128329,0.01487604610889429,0.013965709720324071,0.025131267456094973,0.028908279718941686,0.03437203566630402,0.039679471442646275,2.0699470558858843,2566.58,2566.58,0.0,0,0.0
1.0,adaptive,6,11752,16.794575691223145,128095,0.014775261635429979,0.013794848918479374,0.02492616091873003,0.028746450662546576,0.03431249898100976,0.04538635894005694,2.0838539684213764,2561.9,2561.9,0.0,0,0.0
1.0,adaptive,4,73795,19.529764890670776,128294,0.01480409014739732,0.013847734195442385,0.0249182859617278,0.02878112245581256,0.03360328614909881,0.03975564089810746,2.0783994009131908,2565.88,2565.88,0.0,0,0.0
